labels,scientific_name,location
RED FACED WARBLER,CARDELLINA RUBRIFRONS,north america;central america
RED FODY,FOUDIA MADAGASCARIENSIS,africa
RED HEADED DUCK,AYTHYA AMERICANA,north america
RED HEADED WOODPECKER,MELANERPES ERYTHROCEPHALUS,north america
RED KNOT,CALIDRIS CANUTUS,north america;south america;europe;asia;africa;oceania
RED LEGGED HONEYCREEPER,CYANERPES CYANEUS,north america;central america;south america
RED NAPED TROGON,HARPACTES KASUMBA,asia
RED SHOULDERED HAWK,BUTEO LINEATUS,north america
RED TAILED HAWK,BUTEO JAMAICENSIS,north america;central america
RED TAILED THRUSH,NEOCOSSYPHUS RUFUS,africa
RED WINGED BLACKBIRD,AGELAIUS PHOENICEUS,north america;central america
RED WISKERED BULBUL,PYCNONOTUS JOCOSUS,asia;north america;oceania
